0,"('[0, 0, 1, 1, 0, 1, 1, 0, 1, 0]', 0)","('[0, 1, 0, 1, 1, 1, 1, 1, 0, 1]', 1)","('[0, 0, 0, 1, 0, 0, 1, 1, 1, 0]', 2)",5,4
1,"('[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]', 0)","('[1, 0, 0, 1, 0, 0, 0, 0, 0, 1]', 1)","('[0, 1, 1, 1, 1, 1, 1, 1, 0, 1]', 2)",7,3
2,"('[0, 1, 1, 1, 0, 1, 0, 0, 0, 0]', 0)","('[1, 1, 0, 1, 1, 0, 0, 0, 0, 1]', 1)","('[0, 0, 0, 0, 1, 1, 0, 0, 0, 1]', 2)",9,7,6
3,"('[0, 0, 1, 0, 0, 0, 1, 1, 1, 0]', 0)","('[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]', 1)","('[1, 1, 0, 0, 0, 1, 0, 0, 0, 1]', 2)",5,16
4,"('[0, 0, 1, 0, 0, 1, 0, 0, 1, 0]', 0)","('[0, 0, 1, 1, 0, 0, 0, 1, 1, 0]', 1)","('[1, 0, 0, 0, 0, 1, 1, 0, 0, 1]', 2)",5,7,4
5,"('[0, 1, 0, 1, 1, 0, 1, 0, 0, 1]', 0)","('[0, 0, 1, 0, 1, 1, 1, 1, 0, 0]', 1)","('[1, 0, 1, 1, 1, 0, 1, 1, 1, 0]', 2)",5,6
6,"('[1, 1, 0, 0, 0, 0, 0, 1, 1, 1]', 0)","('[0, 0, 1, 1, 1, 1, 0, 1, 1, 1]', 1)","('[0, 1, 0, 1, 1, 0, 1, 1, 1, 0]', 2)",6,9,5
7,"('[0, 1, 0, 1, 1, 1, 1, 0, 0, 1]', 0)","('[1, 1, 1, 0, 0, 1, 0, 0, 0, 0]', 1)","('[1, 1, 1, 0, 1, 1, 0, 1, 0, 1]', 2)",7,4,9
8,"('[0, 0, 0, 1, 1, 1, 1, 0, 1, 0]', 0)","('[0, 0, 1, 0, 1, 0, 1, 1, 1, 0]', 1)","('[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]', 2)",4,5,6
9,"('[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]', 0)","('[0, 0, 1, 0, 0, 0, 1, 1, 1, 0]', 1)","('[0, 0, 0, 0, 1, 0, 0, 1, 0, 1]', 2)",5,6
10,"('[0, 0, 1, 0, 1, 0, 0, 0, 1, 1]', 0)","('[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]', 1)","('[1, 1, 0, 0, 1, 1, 0, 0, 1, 1]', 2)",5,8,7
11,"('[1, 1, 0, 0, 1, 0, 1, 0, 0, 0]', 0)","('[1, 1, 1, 0, 1, 0, 1, 1, 0, 1]', 1)","('[1, 0, 1, 1, 0, 0, 1, 1, 0, 1]', 2)",4,7,6
12,"('[1, 1, 0, 1, 1, 1, 0, 1, 1, 0]', 0)","('[1, 0, 1, 1, 1, 1, 1, 0, 0, 0]', 1)","('[0, 1, 1, 1, 0, 1, 0, 0, 0, 0]', 2)",5,4,6
13,"('[1, 0, 0, 0, 1, 1, 1, 0, 0, 0]', 0)","('[1, 1, 0, 0, 0, 1, 1, 1, 1, 1]', 1)","('[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]', 2)",7,4,5
