"(0.55, 0.44999999999999996, 1)","('[1, 1, 0, 0, 0]', 0)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[1, 0, 1, 0, 0]', 3)","('[1, 0, 1, 0, 1, 0]', 6)","('[1, 0, 0, 0, 0]', 2)","('[1, 1, 1, 1, 1]', 4)","('[1, 0, 1, 0, 0]', 5)",2.0,1.0,2.55,1.9,1.0,2.8,1.45
"(0.65, 0.35, 0)","('[1, 1, 0, 0, 0]', 0)","('[1, 0, 1, 0, 1, 0]', 2)","('[1, 0, 1, 0, 0]', 3)","('[1, 0, 0, 0, 0, 0]', 1)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 4)","('[1, 1, 0, 0, 0]', 5)","('[1, 1, 1, 1, 1]', 6)",2.0,2.3499999999999996,2.0,1.65,1.65,2.0,2.4
"(0.75, 0.25, 9)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 1, 1, 1, 1]', 1)","('[1, 0, 0, 0, 0, 0]', 5)","('[1, 0, 1, 0, 1, 0]', 2)","('[1, 1, 0, 0, 0]', 4)","('[1, 1, 1, 1, 0]', 3)","('[1, 0, 1, 0, 0]', 6)",1.75,2.0,1.75,1.5,2.0,2.5,2.0
"(0.7, 0.30000000000000004, 2)","('[1, 1, 0, 1, 1, 0]', 0)","('[1, 0, 1, 0, 1, 0]', 3)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 6)","('[1, 1, 1, 0, 0]', 2)","('[1, 1, 0, 0, 0, 0]', 1)","('[1, 1, 1, 1, 1]', 4)","('[1, 0, 0, 0, 0]', 5)",2.6,2.3,1.7,2.3,2.0,2.2,1.7
"(0.7, 0.30000000000000004, 7)","('[1, 1, 0, 0, 0]', 1)","('[1, 0, 1, 0, 1, 0]', 0)","('[1, 1, 1, 1, 1]', 2)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 6)","('[1, 0, 0, 0, 0]', 3)","('[1, 0, 1, 0, 0]', 5)","('[1, 1, 1, 1, 0]', 4)",2.0,1.6,2.2,1.7,1.7,2.0,2.6
"(0.55, 0.44999999999999996, 2)","('[1, 0, 0, 1, 0, 0]', 1)","('[1, 0, 1, 0, 0]', 0)","('[1, 0, 0, 0, 0]', 6)","('[1, 1, 1, 1, 1]', 3)","('[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 2)","('[1, 1, 0, 0, 0]', 5)","('[1, 0, 1, 0, 1, 0]', 4)",2.0,2.0,2.1,2.8,2.0,2.0,2.45
"(0.6, 0.4, 1)","('[1, 1, 1, 1, 1]', 1)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 0, 1, 0, 0]', 3)","('[1, 0, 1, 0, 1, 0]', 6)","('[1, 1, 0, 0, 0]', 5)","('[1, 1, 0, 0, 0]', 2)","('[1, 0, 0, 0, 0]', 4)",2.6,2.1999999999999997,2.0,1.8000000000000003,2.5999999999999996,2.0,1.0
"(0.75, 0.25, 8)","('[1, 0, 0, 1, 0, 0, 0]', 0)","('[1, 1, 1, 1, 1]', 2)","('[1, 1, 0, 1, 1, 0]', 6)","('[1, 0, 1, 0, 0]', 5)","('[1, 0, 1, 0, 1, 0]', 4)","('[1, 1, 0, 0, 0]', 3)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 1)",2.75,2.0,2.5,1.25,2.25,2.0,1.75
"(0.55, 0.44999999999999996, 3)","('[1, 1, 1, 1, 1]', 1)","('[1, 0, 0, 0, 0]', 6)","('[1, 0, 0, 0, 0, 0]', 5)","('[1, 0, 0, 1, 0, 0]', 2)","('[1, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 0, 1, 0, 1, 0]', 4)","('[1, 1, 0, 0, 0]', 3)",2.8,1.0,1.0,1.45,1.55,2.45,2.0
"(0.6, 0.4, 0)","('[1, 1, 0, 0, 0]', 1)","('[1, 0, 1, 0, 1, 0]', 6)","('[1, 0, 0, 0, 0]', 2)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 1, 1, 1, 1]', 5)","('[1, 0, 0, 1, 0, 0]', 4)","('[1, 1, 0, 0, 0]', 3)",2.0,1.8000000000000003,1.6,2.1999999999999997,2.6,2.0,2.0
"(0.7, 0.30000000000000004, 0)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 2)","('[1, 0, 1, 0, 1, 0]', 0)","('[1, 1, 1, 1, 0]', 1)","('[1, 0, 0, 1, 0, 0]', 4)","('[1, 0, 0, 0, 0]', 5)","('[1, 1, 0, 0, 0]', 3)","('[1, 1, 1, 1, 1]', 6)",1.0,1.6,2.6,1.3,1.0,2.0,2.2
