"(0.55, 0.44999999999999996, 1)","('[1, 1, 0, 1, 1, 0]', 0)","('[1, 1, 1, 1, 1]', 1)","('[1, 0, 0, 0, 0]', 6)","('[1, 0, 1, 0, 0]', 3)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 8)","('[1, 1, 0, 0, 0]', 4)","('[1, 1, 0, 0, 0]', 2)","('[1, 0, 0, 0, 0]', 5)","('[1, 0, 1, 0, 0]', 7)",2.9,2.8,1.55,2.0,2.1,2.55,2.0,1.55,2.0
"(0.45, 0.55, 9)","('[1, 0, 1, 0, 0]', 0)","('[1, 1, 0, 0, 0]', 7)","('[1, 0, 0, 0, 0, 0]', 8)","('[1, 0, 0, 0, 0]', 1)","('[1, 0, 0, 1, 0, 0]', 6)","('[1, 0, 0, 0, 0]', 3)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 2)","('[1, 1, 0, 0, 0]', 5)","('[1, 0, 0, 0, 0]', 4)",2.45,2.45,2.35,2.8,2.45,2.35,2.35,2.45,2.35
"(0.55, 0.44999999999999996, 3)","('[1, 0, 0, 0, 0]', 7)","('[1, 0, 1, 0, 0]', 0)","('[1, 1, 0, 0, 0]', 6)","('[1, 0, 1, 0, 1, 0]', 8)","('[1, 1, 1, 1, 0]', 1)","('[1, 1, 0, 0, 0]', 5)","('[1, 1, 1, 1, 1]', 4)","('[1, 0, 0, 1, 0, 0]', 3)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 2)",1.0,2.0,2.55,2.45,2.9,2.0,2.8,1.45,1.0
"(0.5, 0.5, 9)","('[1, 0, 0, 0, 0]', 7)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 2)","('[1, 0, 1, 0, 1, 0]', 0)","('[1, 1, 1, 0, 0]', 8)","('[1, 0, 0, 1, 0, 0]', 4)","('[1, 1, 0, 0, 0, 0]', 1)","('[1, 0, 1, 0, 0]', 5)","('[1, 1, 0, 0, 0]', 3)","('[1, 0, 0, 0, 0, 0]', 6)",2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5
"(0.55, 0.44999999999999996, 5)","('[1, 1, 1, 1, 1]', 1)","('[1, 1, 1, 1, 0]', 7)","('[1, 0, 0, 0, 0, 0]', 8)","('[1, 1, 0, 0, 0, 0]', 6)","('[1, 0, 1, 0, 1, 0]', 2)","('[1, 1, 0, 0, 0]', 4)","('[1, 0, 1, 0, 0]', 5)","('[1, 0, 0, 1, 0, 0]', 3)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 0)",2.8,2.9,2.1,2.0,2.45,2.55,2.55,1.45,2.1
"(0.5, 0.5, 5)","('[1, 0, 0, 1, 0, 0]', 1)","('[1, 0, 1, 0, 0]', 0)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 8)","('[1, 0, 0, 0, 0, 0]', 4)","('[1, 0, 0, 0, 0]', 2)","('[1, 1, 0, 0, 0]', 6)","('[1, 1, 0, 0, 0]', 7)","('[1, 1, 1, 1, 0]', 3)","('[1, 0, 0, 0, 0]', 5)",2.5,2.5,2.0,2.0,2.5,2.5,2.5,3.0,2.0
"(0.55, 0.44999999999999996, 7)","('[1, 1, 0, 0, 0, 0, 0]', 2)","('[1, 1, 1, 1, 1]', 7)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 8)","('[1, 0, 1, 0, 1, 0]', 1)","('[1, 1, 0, 1, 1, 0]', 4)","('[1, 0, 0, 0, 0]', 0)","('[1, 1, 0, 0, 0]', 5)","('[1, 0, 0, 1, 0, 0]', 3)","('[1, 0, 1, 0, 0]', 6)",2.0,2.8,1.55,2.45,2.9,2.1,2.0,1.45,1.45
"(0.4, 0.6, 4)","('[1, 1, 0, 0, 0]', 1)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 4)","('[1, 0, 1, 0, 0]', 2)","('[1, 0, 1, 0, 0]', 8)","('[1, 0, 0, 0, 0, 0]', 3)","('[1, 0, 0, 1, 0, 0]', 7)","('[1, 0, 0, 0, 0]', 0)","('[1, 0, 0, 0, 0]', 6)","('[1, 0, 0, 0, 0]', 5)",2.4000000000000004,2.2,2.4000000000000004,2.4000000000000004,2.2,2.4000000000000004,2.2,2.2,2.2
"(0.5, 0.5, 8)","('[1, 1, 0, 0, 0]', 1)","('[1, 1, 1, 0, 0]', 6)","('[1, 0, 1, 0, 0]', 8)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 5)","('[1, 1, 0, 0, 0]', 3)","('[1, 0, 0, 0, 0]', 0)","('[1, 0, 0, 0, 0]', 2)","('[1, 0, 1, 0, 1, 0]', 7)","('[1, 0, 0, 0, 0]', 4)",2.0,2.5,2.5,2.5,2.5,2.0,2.0,2.5,2.0
"(0.4, 0.6, 6)","('[1, 0, 0, 0, 0]', 8)","('[1, 1, 0, 0, 0]', 6)","('[1, 0, 0, 0, 0, 0]', 0)","('[1, 1, 0, 0, 0]', 7)","('[1, 0, 0, 0, 0]', 3)","('[1, 0, 1, 0, 0]', 4)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[1, 1, 0, 0, 0]', 2)","('[1, 0, 0, 0, 0]', 5)",2.2,2.4000000000000004,2.2,2.4000000000000004,2.6,2.4000000000000004,2.2,2.8,2.2
