"(0.2, 0.8, 7)","('[1, 0, 0, 0, 0, 0]', 0)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 2)","('[1, 0, 0, 0, 0]', 1)",2.0,2.2,2.0
"(0.45, 0.55, 4)","('[1, 1, 0, 0, 0]', 2)","('[1, 0, 1, 0, 0]', 1)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 0)",2.45,2.45,1.9000000000000001
"(0.25, 0.75, 6)","('[1, 1, 0, 0, 0]', 0)","('[1, 0, 0, 0, 0]', 2)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 1)",2.25,1.75,1.75
"(0.35, 0.65, 0)","('[1, 1, 0, 0, 0]', 0)","('[1, 0, 1, 0, 0]', 1)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 2)",2.3499999999999996,2.3499999999999996,1.6999999999999997
"(0.2, 0.8, 6)","('[1, 0, 0, 0, 0]', 0)","('[1, 0, 0, 0, 0]', 2)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 1)",2.2,2.0,2.2
"(0.5, 0.5, 3)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 2)","('[1, 0, 1, 0, 0]', 0)","('[1, 1, 0, 0, 0]', 1)",2.0,2.5,2.5
"(0.25, 0.75, 5)","('[1, 0, 0, 0, 0]', 0)","('[1, 1, 0, 0, 0]', 2)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 1)",1.75,2.5,1.75
"(0.4, 0.6, 5)","('[1, 0, 1, 0, 0]', 2)","('[1, 1, 0, 0, 0]', 1)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 0)",2.4000000000000004,2.4000000000000004,2.2
"(0.35, 0.65, 8)","('[1, 1, 0, 0, 0]', 2)","('[1, 0, 1, 0, 0]', 1)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 0)",2.3499999999999996,2.3499999999999996,1.6999999999999997
"(0.2, 0.8, 5)","('[1, 0, 0, 0, 0, 0, 0]', 0)","('[1, 0, 0, 0, 0, 0]', 1)","('[1, 0, 0, 0, 0]', 2)",2.2,2.2,2.0
