0,"('[0, 0, 1, 0, 0, 0, 1, 1, 1, 1]', 0)","('[1, 0, 1, 1, 1, 0, 0, 1, 0, 1]', 1)",0.7
1,"('[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]', 0)","('[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]', 1)",0.3
2,"('[0, 0, 1, 0, 0, 0, 0, 1, 1, 1]', 0)","('[1, 0, 0, 1, 1, 0, 0, 1, 0, 1]', 1)",0.6
3,"('[1, 1, 0, 0, 1, 0, 1, 1, 1, 1]', 0)","('[1, 1, 0, 0, 1, 0, 1, 1, 1, 1]', 1)",1.0
4,"('[1, 0, 1, 0, 0, 0, 1, 0, 0, 0]', 0)","('[0, 1, 0, 1, 0, 0, 1, 1, 1, 0]', 1)",0.6
5,"('[0, 0, 1, 1, 1, 0, 1, 0, 0, 0]', 0)","('[1, 0, 1, 1, 1, 0, 1, 0, 1, 0]', 1)",0.7
6,"('[1, 0, 1, 1, 1, 1, 1, 0, 1, 1]', 0)","('[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]', 1)",0.2
7,"('[0, 1, 0, 0, 1, 1, 1, 0, 0, 1]', 0)","('[0, 0, 0, 1, 0, 0, 0, 1, 1, 1]', 1)",0.5
8,"('[1, 0, 0, 0, 1, 1, 1, 1, 0, 0]', 0)","('[1, 0, 1, 0, 1, 0, 1, 1, 1, 1]', 1)",0.5
9,"('[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]', 0)","('[1, 1, 0, 1, 0, 1, 0, 1, 1, 0]', 1)",0.5
10,"('[0, 0, 1, 0, 1, 1, 0, 1, 1, 0]', 0)","('[1, 0, 1, 1, 0, 1, 0, 1, 0, 1]', 1)",0.6
11,"('[1, 1, 0, 1, 0, 1, 1, 1, 0, 1]', 0)","('[1, 0, 0, 1, 0, 1, 1, 1, 0, 0]', 1)",0.7
12,"('[0, 0, 1, 1, 1, 0, 1, 0, 0, 1]', 0)","('[1, 0, 1, 1, 0, 1, 1, 1, 0, 1]', 1)",0.6
13,"('[0, 1, 0, 1, 0, 1, 0, 0, 0, 1]', 0)","('[1, 1, 1, 0, 1, 0, 0, 0, 0, 0]', 1)",0.6
14,"('[1, 1, 1, 1, 1, 0, 0, 1, 1, 0]', 0)","('[1, 1, 1, 0, 1, 1, 1, 0, 0, 1]', 1)",0.6
15,"('[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]', 0)","('[1, 0, 1, 1, 1, 0, 1, 0, 0, 1]', 1)",0.4
16,"('[0, 0, 0, 1, 0, 0, 0, 1, 1, 1]', 0)","('[0, 1, 1, 0, 0, 1, 1, 0, 1, 1]', 1)",0.4
17,"('[1, 0, 0, 1, 0, 0, 0, 0, 1, 0]', 0)","('[0, 1, 1, 1, 0, 1, 1, 1, 1, 0]', 1)",0.3
18,"('[0, 0, 0, 1, 1, 0, 0, 0, 1, 1]', 0)","('[1, 1, 0, 1, 0, 0, 1, 0, 1, 0]', 1)",0.3
19,"('[0, 1, 0, 1, 1, 1, 0, 1, 1, 0]', 0)","('[0, 0, 1, 1, 0, 1, 0, 1, 1, 1]', 1)",0.6
20,"('[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]', 0)","('[1, 0, 1, 0, 1, 1, 1, 0, 1, 0]', 1)",0.3
21,"('[1, 1, 1, 0, 0, 1, 0, 0, 0, 1]', 0)","('[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]', 1)",0.7
22,"('[0, 1, 1, 0, 1, 0, 1, 1, 0, 1]', 0)","('[1, 0, 1, 1, 1, 0, 0, 0, 0, 0]', 1)",0.4
23,"('[0, 1, 1, 0, 1, 1, 0, 1, 0, 1]', 0)","('[0, 0, 0, 0, 1, 0, 1, 0, 1, 0]', 1)",0.6
24,"('[1, 0, 0, 0, 0, 1, 1, 0, 1, 1]', 0)","('[1, 0, 1, 1, 1, 1, 0, 1, 0, 0]', 1)",0.5
