0,"('[0, 1, 1, 1, 1, 1, 1, 0, 0, 1]', 0)","('[1, 1, 1, 1, 1, 1, 1, 0, 0, 1]', 1)",0.9
1,"('[1, 0, 0, 1, 1, 0, 1, 1, 1, 0]', 0)","('[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]', 1)",0.4
2,"('[1, 0, 0, 1, 1, 1, 0, 0, 0, 0]', 0)","('[0, 1, 0, 0, 1, 0, 0, 1, 1, 1]', 1)",0.8
3,"('[0, 0, 0, 1, 0, 1, 0, 0, 0, 1]', 0)","('[0, 0, 0, 1, 0, 1, 1, 1, 0, 1]', 1)",0.6
4,"('[0, 1, 0, 0, 0, 0, 0, 1, 0, 1]', 0)","('[0, 0, 1, 1, 0, 1, 0, 0, 0, 1]', 1)",0.6
5,"('[0, 1, 0, 1, 0, 1, 1, 0, 1, 0]', 0)","('[0, 1, 1, 0, 1, 1, 1, 0, 1, 0]', 1)",0.5
6,"('[0, 1, 0, 1, 1, 1, 0, 0, 1, 0]', 0)","('[1, 0, 0, 0, 0, 1, 1, 0, 0, 1]', 1)",0.5
7,"('[0, 1, 0, 0, 1, 1, 1, 1, 1, 1]', 0)","('[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]', 1)",0.4
8,"('[1, 0, 1, 1, 1, 1, 1, 1, 0, 0]', 0)","('[1, 1, 0, 0, 1, 0, 0, 1, 1, 1]', 1)",0.6
9,"('[0, 0, 1, 0, 0, 0, 1, 0, 0, 1]', 0)","('[0, 0, 0, 1, 1, 0, 0, 0, 1, 1]', 1)",0.5
10,"('[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]', 0)","('[0, 1, 0, 0, 1, 1, 1, 1, 1, 0]', 1)",0.4
11,"('[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]', 0)","('[0, 1, 1, 1, 0, 1, 1, 0, 0, 0]', 1)",0.5
12,"('[0, 0, 1, 1, 1, 0, 1, 1, 0, 1]', 0)","('[0, 0, 1, 0, 1, 1, 0, 0, 1, 1]', 1)",0.5
13,"('[0, 1, 0, 0, 1, 0, 1, 0, 0, 1]', 0)","('[0, 1, 0, 0, 0, 1, 1, 1, 0, 0]', 1)",0.4
14,"('[1, 1, 0, 1, 0, 1, 1, 0, 1, 0]', 0)","('[0, 0, 1, 1, 1, 1, 0, 1, 1, 0]', 1)",0.5
15,"('[1, 1, 0, 0, 1, 1, 1, 0, 0, 1]', 0)","('[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]', 1)",0.4
16,"('[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]', 0)","('[1, 1, 1, 1, 0, 1, 1, 1, 0, 1]', 1)",0.5
17,"('[1, 1, 1, 1, 0, 0, 1, 0, 1, 0]', 0)","('[1, 1, 0, 0, 1, 1, 0, 0, 1, 1]', 1)",0.5
18,"('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 1, 0, 0, 1, 0, 1]', 1)",0.7
19,"('[1, 0, 1, 0, 1, 0, 1, 1, 0, 1]', 0)","('[0, 1, 1, 0, 1, 1, 0, 0, 0, 1]', 1)",0.7
20,"('[1, 0, 0, 0, 1, 0, 0, 1, 0, 1]', 0)","('[1, 0, 1, 1, 0, 1, 0, 0, 0, 0]', 1)",0.5
21,"('[0, 1, 0, 0, 0, 1, 0, 1, 0, 0]', 0)","('[0, 0, 1, 0, 1, 1, 1, 0, 1, 0]', 1)",0.5
22,"('[1, 1, 1, 0, 1, 1, 1, 0, 0, 0]', 0)","('[1, 1, 1, 0, 1, 0, 0, 0, 0, 0]', 1)",0.5
23,"('[0, 1, 1, 1, 0, 0, 0, 1, 0, 1]', 0)","('[1, 0, 1, 0, 1, 1, 1, 0, 0, 1]', 1)",0.9
24,"('[1, 1, 1, 0, 1, 0, 1, 1, 0, 1]', 0)","('[0, 1, 1, 1, 1, 1, 0, 0, 1, 1]', 1)",0.5
