10,"('[0, 1, 1, 0, 1, 0, 0, 0, 1, 0]', 0)","('[0, 0, 0, 0, 1, 1, 1, 0, 0, 0]', 1)","('[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 2)",0.4,0.5,,0.45
2,"('[0, 1, 0, 0, 1, 1, 0, 0, 1, 0]', 0)","('[0, 0, 1, 0, 1, 0, 0, 1, 0, 1]', 1)","('[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]', 2)",0.6,0.5,0.4,0.5
3,"('[0, 0, 0, 0, 1, 0, 1, 1, 1, 0]', 0)","('[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]', 1)","('[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]', 2)",0.7,0.5,0.4,0.533333333
18,"('[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]', 1)","('[0, 0, 1, 0, 0, 1, 1, 0, 0, 1]', 2)",0.7,0.4,0.5,0.533333333
17,"('[1, 0, 1, 0, 0, 0, 0, 1, 1, 0]', 0)","('[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]', 1)","('[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]', 2)",0.6,,,0.6
13,"('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 1, 0, 0, 0, 1, 1]', 1)","('[1, 0, 0, 0, 1, 0, 1, 0, 1, 0]', 2)",0.8,0.5,0.6,0.633333333
14,"('[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]', 0)","('[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]', 1)","('[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 2)",0.5,0.8,0.6,0.633333333
4,"('[0, 0, 0, 1, 1, 0, 0, 0, 1, 0]', 0)","('[1, 0, 1, 0, 0, 0, 0, 1, 0, 1]', 1)","('[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 2)",0.7,0.6,,0.65
19,"('[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]', 0)","('[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]', 1)","('[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]', 2)",0.8,0.5,0.7,0.666666667
1,"('[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]', 0)","('[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]', 1)","('[0, 0, 0, 1, 0, 0, 1, 1, 0, 1]', 2)",0.6,0.8,,0.7
8,"('[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]', 0)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]', 2)",0.8,0.6,,0.7
11,"('[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]', 0)","('[0, 1, 0, 0, 1, 1, 0, 1, 0, 0]', 1)","('[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]', 2)",0.4,1,,0.7
9,"('[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]', 0)","('[0, 0, 0, 0, 1, 0, 1, 1, 0, 1]', 1)","('[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]', 2)",0.5,0.7,0.9,0.7
0,"('[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]', 0)","('[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]', 1)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 2)",0.8,0.7,,0.75
5,"('[0, 0, 1, 1, 0, 0, 0, 0, 0, 1]', 0)","('[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]', 2)",0.6,0.9,,0.75
7,"('[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]', 1)","('[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]', 2)",0.6,0.9,,0.75
15,"('[0, 1, 1, 0, 0, 0, 0, 1, 1, 0]', 0)","('[0, 1, 1, 0, 0, 0, 0, 1, 0, 1]', 1)","('[0, 1, 1, 0, 0, 0, 0, 0, 0, 1]', 2)",0.8,0.7,,0.75
6,"('[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 1, 0, 1, 1, 0, 0]', 1)","('[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 2)",0.6,1,,0.8
12,"('[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 0)","('[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]', 1)","('[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]', 2)",0.8,1,,0.9
16,"('[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]', 0)","('[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]', 1)","('[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]', 2)",0.8,1,,0.9
