17,"('[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 0)","('[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]', 1)",0.4
3,"('[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]', 0)","('[1, 0, 0, 1, 1, 1, 0, 0, 0, 0]', 1)",0.5
14,"('[0, 1, 0, 1, 1, 1, 0, 0, 0, 0]', 0)","('[1, 0, 0, 1, 0, 1, 0, 0, 0, 1]', 1)",0.5
4,"('[0, 0, 0, 1, 0, 1, 1, 0, 0, 1]', 0)","('[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]', 1)",0.6
6,"('[0, 0, 0, 0, 1, 0, 1, 0, 1, 0]', 0)","('[1, 0, 0, 1, 0, 0, 0, 0, 1, 0]', 1)",0.6
7,"('[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]', 1)",0.6
8,"('[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 1, 0, 1, 1, 0, 0, 0, 0, 0]', 1)",0.6
15,"('[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]', 0)","('[0, 0, 1, 0, 0, 0, 1, 0, 1, 1]', 1)",0.6
19,"('[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]', 0)","('[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]', 1)",0.6
23,"('[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]', 0)","('[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]', 1)",0.6
24,"('[1, 0, 0, 0, 1, 0, 1, 0, 0, 0]', 0)","('[0, 0, 1, 1, 1, 0, 0, 0, 1, 0]', 1)",0.6
9,"('[0, 0, 0, 0, 1, 0, 0, 1, 0, 1]', 0)","('[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]', 1)",0.7
12,"('[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]', 0)","('[1, 1, 0, 1, 0, 0, 0, 0, 0, 1]', 1)",0.7
20,"('[1, 1, 0, 0, 1, 0, 1, 0, 0, 0]', 0)","('[0, 0, 0, 1, 0, 0, 1, 0, 1, 0]', 1)",0.7
0,"('[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]', 0)","('[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]', 1)",0.8
10,"('[0, 1, 0, 0, 0, 0, 1, 1, 0, 0]', 0)","('[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]', 1)",0.8
22,"('[0, 1, 1, 0, 1, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]', 1)",0.8
1,"('[0, 0, 1, 1, 0, 0, 0, 0, 1, 0]', 0)","('[0, 1, 0, 0, 0, 1, 1, 0, 0, 1]', 1)",0.9
5,"('[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 1)",0.9
11,"('[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 1)",0.9
13,"('[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 1, 1, 0, 0, 0, 0, 0, 1]', 1)",0.9
16,"('[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]', 1)",0.9
21,"('[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 0)","('[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]', 1)",0.9
2,"('[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]', 0)","('[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 1)",1
18,"('[0, 1, 0, 1, 1, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]', 1)",1
