6,"('[0, 1, 0, 1, 1, 0, 0, 0, 0, 1]', 0)","('[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[0, 1, 0, 0, 1, 0, 0, 1, 0, 0]', 2)",0.5,0.4,,0.45
3,"('[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]', 0)","('[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]', 1)","('[1, 0, 0, 0, 1, 0, 1, 0, 0, 1]', 2)",0.5,,,0.5
17,"('[0, 0, 1, 1, 1, 0, 1, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]', 1)","('[0, 0, 1, 1, 0, 1, 0, 1, 0, 0]', 2)",0.6,0.5,0.4,0.5
9,"('[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]', 0)","('[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]', 1)","('[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]', 2)",0.5,0.7,0.4,0.533333333
8,"('[0, 0, 1, 0, 1, 0, 0, 1, 1, 0]', 0)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[0, 1, 1, 1, 0, 0, 0, 1, 0, 0]', 2)",0.4,0.7,0.6,0.566666667
2,"('[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]', 1)","('[0, 0, 1, 1, 1, 0, 1, 0, 0, 0]', 2)",0.9,0.4,0.5,0.6
5,"('[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]', 0)","('[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]', 1)","('[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 2)",0.5,0.6,0.7,0.6
14,"('[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]', 0)","('[0, 1, 1, 0, 0, 1, 0, 0, 1, 0]', 1)","('[0, 0, 0, 1, 0, 0, 1, 0, 1, 0]', 2)",0.5,0.6,0.7,0.6
15,"('[0, 0, 0, 0, 0, 1, 1, 0, 1, 0]', 0)","('[1, 1, 0, 0, 1, 0, 0, 0, 1, 0]', 1)","('[0, 0, 0, 1, 0, 0, 0, 1, 1, 1]', 2)",0.5,0.7,,0.6
13,"('[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]', 1)","('[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]', 2)",0.4,0.8,0.6,0.6
18,"('[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]', 0)","('[0, 1, 1, 0, 1, 0, 0, 0, 0, 1]', 1)","('[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]', 2)",0.6,0.5,0.8,0.633333333
1,"('[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]', 0)","('[1, 0, 0, 0, 1, 1, 0, 0, 0, 0]', 1)","('[0, 1, 1, 0, 0, 0, 1, 0, 0, 0]', 2)",0.5,0.8,0.7,0.666666667
19,"('[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]', 0)","('[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]', 2)",0.8,0.6,,0.7
11,"('[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]', 0)","('[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]', 1)","('[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 2)",0.5,1,0.7,0.733333333
4,"('[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 0)","('[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]', 1)","('[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]', 2)",1,0.6,,0.8
12,"('[0, 0, 0, 1, 0, 1, 1, 1, 0, 0]', 0)","('[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]', 1)","('[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]', 2)",0.7,0.9,,0.8
7,"('[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 0)","('[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 1)","('[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]', 2)",0.9,0.8,0.7,0.8
0,"('[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]', 0)","('[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]', 1)","('[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]', 2)",1,0.9,,0.95
10,"('[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 1)","('[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]', 2)",1,,,1
16,"('[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 0)","('[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 1)","('[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 2)",1,,,1
