1,"('[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]', 0)","('[0, 1, 0, 1, 0, 0, 1, 0, 1, 0]', 1)","('[1, 0, 1, 0, 0, 1, 0, 1, 0, 0]', 2)",52,,52
2,"('[0, 1, 0, 0, 0, 1, 1, 0, 1, 0]', 0)","('[0, 1, 0, 0, 0, 1, 1, 0, 0, 1]', 1)","('[0, 0, 0, 1, 0, 0, 0, 0, 1, 1]', 2)",52,,52
4,"('[1, 0, 1, 0, 1, 1, 0, 0, 0, 0]', 0)","('[1, 1, 0, 0, 0, 1, 0, 0, 0, 1]', 1)","('[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]', 2)",52,,52
20,"('[1, 1, 0, 0, 0, 1, 1, 0, 0, 0]', 0)","('[0, 1, 1, 0, 1, 0, 1, 0, 0, 0]', 1)","('[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]', 2)",52,,52
5,"('[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]', 0)","('[0, 0, 1, 0, 1, 1, 0, 0, 1, 0]', 1)","('[0, 1, 0, 0, 1, 1, 0, 0, 0, 1]', 2)",54,52,53
15,"('[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]', 0)","('[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]', 1)","('[1, 1, 0, 1, 0, 0, 1, 0, 0, 0]', 2)",54,52,53
14,"('[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]', 0)","('[1, 1, 0, 1, 0, 0, 0, 0, 0, 1]', 1)","('[1, 1, 1, 0, 0, 0, 0, 1, 0, 0]', 2)",56,52,54
18,"('[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 1, 1, 0, 1, 1]', 1)","('[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]', 2)",58,52,55
19,"('[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 0, 1, 1, 0, 1, 0, 0, 0, 0]', 1)","('[1, 0, 0, 1, 0, 0, 0, 0, 1, 1]', 2)",58,52,55
24,"('[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]', 1)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]', 2)",58,52,55
0,"('[1, 1, 0, 1, 0, 0, 0, 0, 0, 1]', 0)","('[0, 0, 1, 0, 0, 0, 1, 0, 0, 1]', 1)","('[1, 0, 0, 0, 1, 0, 0, 1, 0, 0]', 2)",54,58,56
10,"('[0, 0, 1, 0, 0, 1, 0, 1, 0, 1]', 0)","('[0, 0, 0, 1, 0, 0, 0, 0, 1, 1]', 1)","('[0, 1, 0, 0, 1, 0, 1, 0, 0, 1]', 2)",54,58,56
12,"('[0, 1, 0, 0, 1, 0, 1, 0, 0, 1]', 0)","('[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]', 1)","('[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]', 2)",54,58,56
16,"('[0, 0, 1, 0, 1, 0, 0, 1, 0, 1]', 0)","('[0, 1, 0, 1, 0, 0, 0, 1, 0, 0]', 1)","('[1, 0, 0, 0, 0, 1, 1, 0, 1, 0]', 2)",54,58,56
22,"('[1, 0, 1, 0, 0, 1, 0, 1, 0, 0]', 0)","('[0, 0, 0, 0, 1, 1, 0, 0, 0, 1]', 1)","('[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]', 2)",54,58,56
17,"('[1, 0, 1, 0, 0, 0, 1, 0, 0, 0]', 0)","('[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]', 1)","('[1, 0, 1, 1, 1, 0, 0, 0, 0, 0]', 2)",58,,58
3,"('[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]', 0)","('[0, 0, 0, 1, 1, 0, 0, 0, 1, 0]', 1)","('[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]', 2)",62,58,60
7,"('[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]', 0)","('[0, 1, 0, 0, 1, 0, 0, 1, 0, 0]', 1)","('[0, 1, 0, 0, 1, 0, 1, 0, 0, 1]', 2)",62,58,60
13,"('[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 1, 0, 0, 0, 1, 0, 0, 1]', 1)","('[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]', 2)",62,58,60
23,"('[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]', 0)","('[0, 1, 0, 0, 0, 0, 1, 1, 0, 0]', 1)","('[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]', 2)",62,58,60
11,"('[0, 1, 0, 0, 1, 0, 1, 0, 0, 1]', 0)","('[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]', 1)","('[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]', 2)",56,68,62
8,"('[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]', 0)","('[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]', 1)","('[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]', 2)",62,68,65
9,"('[0, 0, 1, 1, 0, 0, 0, 0, 0, 1]', 0)","('[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]', 1)","('[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]', 2)",62,68,65
21,"('[0, 0, 1, 1, 0, 0, 0, 0, 0, 1]', 0)","('[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]', 1)","('[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 2)",62,68,65
6,"('[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 0)","('[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[1, 0, 0, 0, 1, 1, 0, 0, 1, 0]', 2)",82,,82
