"('commonsub_og', 0)","('[1, 0, 0, 1, 0, 1, 0, 1, 0, 0]', 0)","('[1, 1, 0, 1, 1, 1, 0, 0, 0, 0]', 1)","('[1, 1, 1, 1, 1, 1, 0, 1, 0, 0]', 2)","('[1, 1, 1, 1, 1, 1, 0, 1, 0, 0]', 3)","('[1, 0, 1, 0, 0, 1, 0, 0, 0, 0]', 4)",305.4,48.8
"('commonsub_og', 1)","('[1, 1, 1, 0, 1, 1, 1, 0, 0, 0]', 0)","('[1, 1, 1, 1, 1, 0, 1, 1, 1, 0]', 1)","('[1, 0, 1, 1, 1, 1, 1, 1, 0, 0]', 2)","('[1, 1, 0, 1, 0, 0, 0, 0, 0, 0]', 3)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 4)",309.2,46.6
"('commonsub_og', 2)","('[1, 1, 1, 1, 1, 1, 0, 1, 0, 0]', 0)","('[1, 1, 1, 0, 1, 1, 0, 0, 0, 0]', 1)","('[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]', 2)","('[1, 0, 0, 1, 1, 1, 0, 1, 0, 0]', 3)","('[1, 1, 0, 1, 0, 0, 1, 0, 0, 0]', 4)",276.2,49
"('commonsub_og', 3)","('[1, 0, 1, 1, 1, 0, 1, 1, 1, 0]', 0)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[1, 1, 0, 1, 1, 0, 0, 0, 0, 0]', 2)","('[1, 1, 0, 0, 1, 0, 0, 0, 0, 0]', 3)","('[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]', 4)",294,46
"('commonsub_og', 4)","('[1, 0, 1, 1, 1, 0, 1, 0, 1, 0]', 0)","('[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]', 1)","('[1, 0, 0, 1, 1, 0, 1, 0, 0, 0]', 2)","('[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]', 3)","('[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 4)",280,45.6
"('commonsub_og', 5)","('[1, 1, 0, 1, 0, 0, 0, 0, 0, 0]', 0)","('[1, 0, 1, 1, 0, 1, 1, 1, 1, 0]', 1)","('[1, 1, 0, 1, 1, 0, 0, 0, 0, 0]', 2)","('[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]', 3)","('[1, 1, 0, 1, 0, 0, 0, 0, 0, 0]', 4)",261.6,49.6
"('commonsub_og', 6)","('[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]', 1)","('[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]', 2)","('[1, 0, 1, 1, 1, 0, 1, 0, 0, 0]', 3)","('[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 4)",324.8,45.2
"('commonsub_og', 7)","('[1, 1, 0, 1, 1, 1, 0, 1, 0, 0]', 0)","('[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]', 1)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 2)","('[1, 1, 0, 0, 1, 0, 0, 0, 0, 0]', 3)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 4)",222.6,56.2
"('commonsub_og', 8)","('[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]', 0)","('[1, 0, 1, 0, 0, 1, 0, 0, 0, 0]', 1)","('[1, 0, 1, 1, 1, 0, 0, 0, 0, 0]', 2)","('[1, 1, 0, 0, 0, 1, 1, 0, 0, 0]', 3)","('[1, 0, 1, 1, 1, 0, 0, 0, 0, 0]', 4)",241.2,50.8
"('commonsub_og', 9)","('[1, 1, 0, 1, 1, 0, 0, 0, 0, 0]', 0)","('[1, 1, 1, 1, 1, 0, 1, 1, 1, 0]', 1)","('[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]', 2)","('[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]', 3)","('[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]', 4)",449.4,53.8
