"('commonsub_og', 2)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]', 1)","('[1, 1, 0, 0, 1, 1, 0, 0, 0, 0]', 2)","('[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]', 3)","('[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 4)",22.9,6.6,,"('commonsub_two', 1)","('[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 1)","('[1, 1, 1, 1, 0, 1, 0, 1, 0, 0]', 2)","('[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]', 3)","('[1, 1, 1, 0, 1, 1, 1, 1, 1, 0]', 4)",24,5.1
"('commonsub_og', 14)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]', 1)","('[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]', 2)","('[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 3)","('[1, 1, 1, 1, 0, 1, 1, 1, 1, 0]', 4)",23.1,4.4,,"('commonsub_two', 4)","('[1, 0, 0, 1, 1, 0, 0, 1, 0, 0]', 0)","('[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 2)","('[1, 1, 0, 1, 0, 1, 1, 0, 0, 0]', 3)","('[1, 0, 1, 1, 0, 1, 0, 1, 1, 0]', 4)",25.7,5.5
"('commonsub_og', 3)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 2)","('[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]', 3)","('[1, 1, 1, 0, 1, 1, 1, 1, 1, 0]', 4)",23.8,5.8,,"('commonsub_two', 10)","('[1, 1, 1, 0, 0, 1, 0, 0, 0, 0]', 0)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]', 2)","('[1, 1, 1, 1, 1, 1, 0, 1, 0, 0]', 3)","('[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 4)",26,6.1
"('commonsub_og', 7)","('[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]', 0)","('[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]', 1)","('[1, 0, 0, 1, 0, 0, 1, 1, 0, 0]', 2)","('[1, 0, 1, 0, 0, 1, 1, 0, 0, 0]', 3)","('[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 4)",24.2,4.7,,"('commonsub_two', 15)","('[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]', 0)","('[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]', 1)","('[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 2)","('[1, 0, 1, 1, 1, 1, 1, 1, 1, 0]', 3)","('[1, 1, 1, 1, 0, 1, 1, 1, 1, 0]', 4)",26.2,4.9
"('commonsub_og', 10)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]', 1)","('[1, 0, 1, 1, 0, 1, 1, 0, 0, 0]', 2)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 3)","('[1, 1, 0, 0, 0, 1, 1, 0, 0, 0]', 4)",24.6,5.6,,"('commonsub_two', 3)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 0, 1, 1, 1, 1, 1, 0, 0, 0]', 1)","('[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]', 2)","('[1, 0, 1, 0, 0, 1, 0, 0, 0, 0]', 3)","('[1, 1, 0, 0, 1, 0, 1, 0, 0, 0]', 4)",26.4,6.3
"('commonsub_og', 1)","('[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]', 0)","('[1, 1, 0, 1, 0, 0, 0, 0, 0, 0]', 1)","('[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 2)","('[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 3)","('[1, 1, 1, 1, 1, 0, 1, 0, 1, 0]', 4)",24.8,6.4,,"('commonsub_two', 17)","('[1, 0, 1, 0, 0, 1, 0, 0, 0, 0]', 0)","('[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]', 1)","('[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 2)","('[1, 1, 0, 1, 0, 1, 0, 1, 0, 0]', 3)","('[1, 1, 0, 0, 1, 0, 0, 0, 0, 0]', 4)",26.8,5.2
"('commonsub_og', 8)","('[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]', 0)","('[1, 1, 1, 0, 1, 1, 1, 1, 1, 0]', 1)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 2)","('[1, 1, 0, 0, 1, 1, 0, 0, 0, 0]', 3)","('[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 4)",26.2,4.3,,"('commonsub_two', 19)","('[1, 1, 1, 1, 0, 1, 0, 1, 1, 0]', 0)","('[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]', 1)","('[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 2)","('[1, 0, 1, 1, 0, 1, 0, 0, 0, 0]', 3)","('[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]', 4)",27.4,4.6
"('commonsub_og', 13)","('[1, 1, 0, 0, 1, 0, 0, 0, 0, 0]', 0)","('[1, 1, 1, 0, 0, 1, 1, 1, 0, 0]', 1)","('[1, 0, 1, 0, 0, 1, 0, 0, 0, 0]', 2)","('[1, 1, 0, 1, 0, 1, 1, 0, 1, 0]', 3)","('[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]', 4)",26.3,4.5,,"('commonsub_two', 8)","('[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 1, 1, 0, 1, 1, 0, 0, 0, 0]', 1)","('[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]', 2)","('[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 3)","('[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]', 4)",28.1,5.1
"('commonsub_og', 11)","('[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]', 0)","('[1, 1, 0, 1, 0, 1, 1, 1, 0, 0]', 1)","('[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 2)","('[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]', 3)","('[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]', 4)",26.4,5,,"('commonsub_two', 9)","('[1, 1, 1, 0, 1, 0, 1, 1, 0, 0]', 0)","('[1, 0, 0, 1, 0, 1, 0, 1, 0, 0]', 1)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 2)","('[1, 0, 0, 1, 0, 1, 0, 1, 0, 0]', 3)","('[1, 1, 0, 0, 1, 1, 1, 0, 0, 0]', 4)",30.8,6.3
"('commonsub_og', 18)","('[1, 0, 1, 0, 0, 1, 1, 1, 0, 0]', 0)","('[1, 1, 0, 1, 0, 0, 1, 0, 0, 0]', 1)","('[1, 1, 1, 0, 0, 1, 1, 0, 0, 0]', 2)","('[1, 1, 1, 1, 0, 1, 0, 1, 1, 0]', 3)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 4)",27.6,5,,"('commonsub_two', 11)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 1, 1, 1, 1, 0, 1, 1, 1, 0]', 1)","('[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 2)","('[1, 1, 1, 1, 1, 0, 1, 1, 1, 0]', 3)","('[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]', 4)",32.1,5.5
