1,"('[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]', 0)","('[1, 0, 0, 1, 0, 0, 0, 1, 1, 0]', 1)",4
14,"('[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]', 0)","('[0, 0, 1, 1, 0, 0, 1, 0, 0, 1]', 1)",4
19,"('[1, 1, 0, 0, 0, 0, 1, 1, 0, 0]', 0)","('[1, 0, 1, 0, 0, 0, 1, 0, 1, 0]', 1)",4
24,"('[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]', 0)","('[0, 1, 0, 0, 0, 1, 0, 0, 1, 1]', 1)",4
2,"('[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]', 0)","('[0, 0, 1, 1, 0, 0, 1, 0, 1, 0]', 1)",5
10,"('[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 0)","('[1, 0, 0, 1, 0, 0, 1, 0, 0, 1]', 1)",5
11,"('[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]', 0)","('[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]', 1)",5
21,"('[0, 0, 1, 0, 1, 0, 1, 0, 1, 0]', 0)","('[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 1)",5
5,"('[0, 0, 0, 1, 0, 0, 1, 0, 0, 1]', 0)","('[0, 1, 1, 0, 0, 0, 0, 0, 0, 1]', 1)",5
7,"('[1, 0, 0, 0, 1, 0, 1, 0, 0, 1]', 0)","('[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 1)",5
18,"('[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]', 0)","('[0, 1, 1, 0, 0, 1, 0, 0, 0, 1]', 1)",5
14,"('[0, 1, 0, 1, 0, 0, 0, 1, 0, 1]', 0)","('[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 1)",5
17,"('[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 0)","('[0, 0, 1, 0, 0, 1, 0, 1, 0, 1]', 1)",5
18,"('[0, 1, 0, 0, 1, 0, 1, 0, 0, 0]', 0)","('[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]', 1)",5
1,"('[0, 1, 0, 0, 0, 0, 1, 1, 0, 1]', 0)","('[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 1)",6
6,"('[0, 1, 0, 0, 0, 1, 0, 0, 1, 0]', 0)","('[1, 0, 0, 0, 1, 0, 1, 0, 0, 1]', 1)",6
18,"('[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]', 0)","('[0, 1, 0, 0, 1, 0, 0, 1, 0, 0]', 1)",6
19,"('[1, 0, 1, 0, 0, 0, 0, 1, 0, 1]', 0)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 1)",6
20,"('[0, 0, 0, 1, 0, 0, 1, 0, 1, 1]', 0)","('[0, 0, 0, 0, 1, 0, 1, 0, 0, 1]', 1)",6
12,"('[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]', 0)","('[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 1)",6
20,"('[0, 0, 0, 1, 1, 0, 1, 0, 1, 0]', 0)","('[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]', 1)",6
0,"('[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]', 0)","('[1, 0, 1, 0, 0, 0, 0, 1, 1, 0]', 1)",6
1,"('[0, 0, 1, 1, 0, 0, 0, 1, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]', 1)",6
3,"('[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]', 0)","('[0, 0, 0, 1, 0, 0, 1, 1, 0, 1]', 1)",6
5,"('[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 0, 1, 1, 0, 0, 0, 1, 0, 0]', 1)",6
16,"('[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]', 0)","('[0, 0, 1, 0, 0, 1, 1, 1, 0, 0]', 1)",6
7,"('[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]', 0)","('[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 1)",7
14,"('[1, 0, 0, 0, 0, 0, 1, 0, 0, 1]', 0)","('[0, 1, 0, 0, 0, 0, 0, 1, 1, 0]', 1)",7
23,"('[0, 1, 0, 0, 0, 0, 1, 0, 1, 0]', 0)","('[0, 0, 0, 1, 1, 0, 0, 0, 0, 1]', 1)",7
2,"('[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 1, 1, 0, 0, 1]', 1)",7
3,"('[0, 0, 0, 0, 0, 1, 0, 1, 1, 1]', 0)","('[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]', 1)",7
8,"('[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]', 0)","('[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 1)",7
9,"('[0, 0, 0, 0, 0, 1, 0, 0, 1, 1]', 0)","('[0, 0, 1, 1, 1, 0, 1, 0, 0, 0]', 1)",7
23,"('[0, 0, 1, 0, 1, 0, 0, 1, 1, 0]', 0)","('[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]', 1)",7
6,"('[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]', 0)","('[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]', 1)",7
7,"('[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]', 0)","('[0, 1, 0, 0, 0, 0, 0, 1, 1, 0]', 1)",7
12,"('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]', 1)",7
15,"('[1, 0, 0, 0, 0, 0, 1, 0, 0, 1]', 0)","('[0, 0, 1, 0, 0, 1, 0, 0, 1, 0]', 1)",7
19,"('[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]', 1)",7
3,"('[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]', 1)",8
5,"('[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]', 0)","('[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]', 1)",8
9,"('[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]', 1)",8
13,"('[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]', 0)","('[0, 0, 0, 0, 1, 0, 1, 0, 1, 0]', 1)",8
17,"('[0, 0, 0, 1, 1, 1, 0, 1, 0, 0]', 0)","('[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]', 1)",8
24,"('[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]', 1)",8
4,"('[1, 1, 0, 1, 0, 0, 0, 1, 0, 0]', 0)","('[1, 0, 0, 0, 1, 1, 0, 1, 0, 0]', 1)",8
15,"('[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]', 0)","('[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]', 1)",8
21,"('[1, 0, 1, 0, 0, 1, 1, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]', 1)",8
22,"('[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]', 0)","('[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]', 1)",8
8,"('[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]', 1)",8
9,"('[0, 1, 0, 0, 1, 0, 1, 0, 0, 0]', 0)","('[1, 0, 1, 0, 0, 1, 0, 0, 0, 0]', 1)",8
20,"('[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]', 1)",8
23,"('[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]', 0)","('[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 1)",8
0,"('[0, 0, 1, 0, 0, 0, 1, 0, 1, 0]', 0)","('[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]', 1)",9
4,"('[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]', 1)",9
12,"('[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]', 0)","('[0, 1, 1, 0, 1, 0, 0, 0, 0, 0]', 1)",9
16,"('[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 0)","('[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]', 1)",9
