9,"('[0, 1, 1, 0, 0, 1, 0, 0, 1, 0]', 0)","('[0, 1, 1, 0, 0, 0, 1, 1, 0, 0]', 1)","('[0, 1, 1, 0, 1, 0, 0, 0, 0, 1]', 2)",6,4,,5,,,,,,,,,,,
8,"('[1, 0, 1, 0, 0, 0, 0, 0, 1, 1]', 0)","('[1, 0, 1, 0, 0, 1, 0, 1, 0, 0]', 1)","('[0, 0, 0, 0, 1, 0, 1, 0, 1, 1]', 2)",5,6,,5.5,,,,,,,,,,,
1,"('[0, 0, 0, 1, 1, 0, 1, 0, 1, 0]', 0)","('[0, 0, 1, 0, 0, 0, 1, 1, 1, 0]', 1)","('[0, 1, 0, 1, 1, 0, 0, 0, 1, 0]', 2)",5,4,8,5.666666667,,,,,,,,,,,
2,"('[0, 0, 1, 0, 1, 0, 1, 0, 1, 0]', 0)","('[0, 0, 0, 1, 0, 1, 0, 0, 1, 1]', 1)","('[0, 1, 0, 0, 0, 0, 0, 1, 1, 1]', 2)",8,6,5,6.333333333,,,,,,,,,,,
4,"('[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]', 0)","('[0, 0, 1, 1, 0, 0, 1, 1, 0, 0]', 1)","('[1, 1, 0, 0, 0, 1, 0, 1, 0, 0]', 2)",6,5,8,6.333333333,,,,,,,,,,,
5,"('[0, 0, 0, 1, 0, 0, 1, 1, 1, 0]', 0)","('[0, 1, 0, 1, 0, 0, 0, 0, 1, 1]', 1)","('[0, 1, 1, 1, 0, 1, 0, 0, 0, 0]', 2)",6,7,,6.5,,,,,,,,,,,
3,"('[0, 0, 1, 1, 0, 1, 1, 0, 0, 0]', 0)","('[0, 0, 0, 1, 1, 0, 0, 0, 1, 1]', 1)","('[1, 0, 0, 0, 0, 1, 1, 0, 1, 0]', 2)",6,8,,7,,,,,,,,,,,
6,"('[0, 0, 1, 0, 1, 1, 0, 0, 1, 0]', 0)","('[0, 0, 0, 1, 1, 1, 0, 0, 0, 1]', 1)","('[1, 0, 0, 1, 1, 0, 1, 0, 0, 0]', 2)",7,,,7,,,,,,,,,,,
0,"('[0, 0, 0, 0, 1, 1, 1, 0, 0, 1]', 0)","('[0, 0, 1, 1, 1, 0, 1, 0, 0, 0]', 1)","('[1, 0, 1, 0, 1, 0, 0, 0, 0, 1]', 2)",8,7,,7.5,,,,,,,,,,,
7,"('[0, 1, 1, 0, 0, 0, 1, 0, 1, 0]', 0)","('[0, 0, 0, 1, 1, 1, 0, 1, 0, 0]', 1)","('[1, 0, 1, 0, 0, 0, 0, 0, 1, 1]', 2)",5,14,,9.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,0,0,1,0,0,1,0
,,,,,,,,,0,1,1,0,0,0,1,1,0,0
,,,,,,,,,0,1,1,0,1,0,0,0,0,1
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,0,1,0,0,0,0,0,1,1
,,,,,,,,,1,0,1,0,0,1,0,1,0,0
,,,,,,,,,0,0,0,0,1,0,1,0,1,1
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,0,1,1,0,0,0,1,0
,,,,,,,,,0,0,1,0,0,0,1,1,1,0
,,,,,,,,,0,1,0,1,1,0,0,0,1,0
