0,"('[0, 1, 1, 1, 1, 1, 1, 1, 0, 0]', 0)","('[0, 1, 1, 0, 0, 1, 0, 0, 0, 1]', 1)","('[1, 1, 1, 1, 0, 1, 1, 0, 1, 1]', 2)",5,7
1,"('[1, 0, 0, 0, 1, 1, 0, 0, 1, 1]', 0)","('[1, 0, 0, 1, 1, 0, 0, 1, 1, 1]', 1)","('[0, 0, 1, 1, 0, 1, 1, 0, 1, 1]', 2)",9,7
2,"('[1, 0, 1, 1, 0, 1, 1, 1, 1, 1]', 0)","('[1, 0, 1, 1, 0, 1, 0, 1, 1, 1]', 1)","('[1, 0, 0, 1, 1, 0, 0, 0, 1, 0]', 2)",9,4
3,"('[0, 0, 1, 0, 0, 1, 1, 0, 1, 0]', 0)","('[0, 1, 1, 0, 1, 1, 1, 0, 0, 1]', 1)","('[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]', 2)",5,4,8
4,"('[0, 1, 1, 1, 0, 1, 1, 0, 1, 0]', 0)","('[0, 1, 1, 0, 0, 1, 1, 0, 0, 0]', 1)","('[0, 0, 1, 0, 1, 0, 0, 1, 0, 0]', 2)",5,6
5,"('[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]', 0)","('[0, 1, 0, 1, 1, 0, 0, 1, 1, 0]', 1)","('[1, 0, 0, 1, 1, 0, 0, 1, 1, 0]', 2)",16,8
6,"('[1, 1, 0, 1, 0, 1, 0, 1, 1, 0]', 0)","('[0, 1, 0, 1, 1, 0, 1, 1, 0, 1]', 1)","('[0, 1, 0, 1, 1, 1, 0, 1, 1, 0]', 2)",15,6
7,"('[0, 0, 0, 1, 0, 0, 0, 0, 1, 1]', 0)","('[0, 1, 0, 0, 0, 0, 1, 0, 0, 1]', 1)","('[1, 1, 0, 0, 1, 1, 0, 1, 1, 1]', 2)",7,4,5
8,"('[1, 1, 1, 0, 0, 1, 1, 1, 1, 0]', 0)","('[1, 1, 0, 1, 0, 1, 0, 1, 1, 0]', 1)","('[1, 1, 1, 0, 1, 0, 0, 1, 1, 0]', 2)",5,6,7
9,"('[1, 1, 0, 0, 1, 0, 1, 1, 0, 1]', 0)","('[1, 0, 1, 1, 0, 1, 1, 0, 1, 1]', 1)","('[1, 0, 0, 1, 1, 1, 0, 1, 1, 1]', 2)",9,7,6
10,"('[0, 1, 0, 0, 0, 0, 0, 1, 0, 1]', 0)","('[1, 1, 0, 1, 1, 0, 1, 0, 0, 1]', 1)","('[0, 1, 0, 0, 1, 1, 0, 0, 0, 1]', 2)",5,7
11,"('[1, 0, 1, 0, 0, 0, 1, 0, 1, 1]', 0)","('[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 1)","('[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]', 2)",5,6,4
12,"('[1, 1, 1, 1, 1, 0, 1, 0, 1, 1]', 0)","('[1, 1, 0, 1, 0, 0, 0, 1, 1, 1]', 1)","('[1, 1, 1, 0, 1, 1, 0, 1, 0, 1]', 2)",8,6,9
13,"('[0, 1, 1, 0, 1, 0, 1, 0, 1, 1]', 0)","('[1, 1, 0, 0, 0, 1, 1, 0, 1, 0]', 1)","('[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]', 2)",7,4,5
