5,"('[1, 0, 1, 0, 0, 0, 1, 0, 0, 1]', 0)","('[0, 0, 0, 0, 0, 1, 1, 0, 1, 1]', 1)","('[1, 0, 1, 0, 1, 0, 0, 1, 0, 0]', 2)","('[1, 0, 0, 1, 0, 0, 1, 1, 0, 0]', 3)","('[0, 0, 1, 0, 1, 0, 1, 0, 1, 0]', 4)","('[0, 1, 1, 0, 0, 1, 0, 1, 0, 0]', 5)","('[0, 0, 1, 0, 0, 1, 0, 1, 1, 0]', 6)","('[1, 1, 0, 0, 0, 0, 0, 1, 1, 0]', 7)","('[1, 0, 1, 0, 0, 0, 0, 1, 0, 1]', 8)","('[0, 1, 1, 0, 0, 1, 1, 0, 0, 0]', 9)",6,3,8,5,4,7,17,,,7.142857143,,,,,,,,,,,,,,
1,"('[1, 0, 1, 0, 0, 0, 0, 1, 0, 1]', 0)","('[1, 1, 1, 0, 0, 0, 0, 0, 1, 0]', 1)","('[0, 1, 0, 0, 0, 1, 0, 0, 1, 1]', 2)","('[1, 0, 1, 1, 0, 0, 0, 0, 1, 0]', 3)","('[0, 1, 0, 1, 0, 0, 0, 1, 0, 1]', 4)","('[0, 0, 1, 0, 0, 1, 0, 1, 0, 1]', 5)","('[0, 0, 0, 1, 0, 0, 1, 1, 1, 0]', 6)","('[1, 0, 0, 0, 0, 1, 0, 0, 1, 1]', 7)","('[1, 0, 0, 1, 0, 0, 1, 0, 0, 1]', 8)","('[0, 1, 1, 0, 0, 0, 1, 0, 1, 0]', 9)",8,5,7,6,17,4,,,,7.833333333,,,,,,,,,,,,,,
9,"('[1, 0, 0, 0, 0, 1, 1, 1, 0, 0]', 0)","('[1, 0, 0, 0, 0, 1, 0, 1, 0, 1]', 1)","('[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]', 2)","('[0, 1, 0, 1, 0, 0, 1, 0, 0, 1]', 3)","('[0, 1, 0, 0, 0, 1, 0, 1, 1, 0]', 4)","('[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]', 5)","('[0, 1, 1, 1, 0, 0, 0, 0, 0, 1]', 6)","('[0, 0, 0, 0, 1, 0, 1, 0, 1, 1]', 7)","('[1, 1, 0, 1, 0, 1, 0, 0, 0, 0]', 8)","('[0, 0, 1, 1, 0, 1, 0, 0, 0, 1]', 9)",6,7,8,5,18,,,,,8.8,,,,,,,,,,,,,,
7,"('[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]', 0)","('[0, 0, 1, 0, 1, 1, 0, 0, 1, 0]', 1)","('[1, 0, 0, 1, 1, 0, 0, 0, 0, 1]', 2)","('[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]', 3)","('[1, 0, 0, 0, 0, 1, 0, 0, 1, 1]', 4)","('[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]', 5)","('[0, 0, 1, 0, 1, 1, 1, 0, 0, 0]', 6)","('[1, 0, 1, 0, 1, 0, 0, 0, 0, 1]', 7)","('[0, 1, 0, 0, 1, 1, 0, 0, 1, 0]', 8)","('[0, 1, 1, 0, 0, 0, 1, 1, 0, 0]', 9)",5,6,18,7,8,14,4,,,8.857142857,,,,,,,,,,,,,,
3,"('[0, 1, 0, 0, 0, 0, 1, 1, 1, 0]', 0)","('[0, 0, 0, 0, 1, 0, 1, 0, 1, 1]', 1)","('[1, 0, 0, 0, 0, 1, 0, 1, 0, 1]', 2)","('[0, 1, 0, 0, 0, 1, 1, 0, 1, 0]', 3)","('[1, 0, 1, 0, 0, 1, 0, 1, 0, 0]', 4)","('[0, 1, 1, 0, 0, 0, 1, 0, 0, 1]', 5)","('[0, 0, 1, 1, 0, 1, 0, 0, 0, 1]', 6)","('[0, 1, 0, 0, 1, 0, 1, 1, 0, 0]', 7)","('[0, 1, 0, 0, 0, 1, 1, 0, 1, 0]', 8)","('[0, 0, 0, 0, 0, 1, 1, 0, 1, 1]', 9)",6,18,7,4,5,8,14,19,3,9.333333333,,,,,,,,,,,,,,
8,"('[1, 0, 0, 0, 1, 0, 1, 0, 1, 0]', 0)","('[0, 0, 0, 1, 1, 0, 0, 1, 0, 1]', 1)","('[1, 0, 1, 0, 1, 0, 0, 0, 0, 1]', 2)","('[1, 1, 0, 0, 0, 1, 1, 0, 0, 0]', 3)","('[0, 1, 0, 0, 0, 0, 0, 1, 1, 1]', 4)","('[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]', 5)","('[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]', 6)","('[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]', 7)","('[0, 1, 0, 1, 1, 1, 0, 0, 0, 0]', 8)","('[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]', 9)",8,7,5,6,4,18,19,,,9.571428571,,,,,,,,,,,,,,
2,"('[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]', 0)","('[1, 0, 1, 0, 0, 0, 1, 0, 1, 0]', 1)","('[1, 0, 0, 1, 0, 0, 1, 1, 0, 0]', 2)","('[0, 0, 0, 0, 1, 1, 0, 0, 1, 1]', 3)","('[0, 1, 0, 0, 0, 1, 0, 1, 1, 0]', 4)","('[0, 1, 0, 0, 1, 1, 1, 0, 0, 0]', 5)","('[1, 0, 0, 1, 0, 0, 1, 0, 1, 0]', 6)","('[0, 1, 1, 0, 0, 1, 0, 0, 0, 1]', 7)","('[1, 0, 1, 1, 1, 0, 0, 0, 0, 0]', 8)","('[1, 1, 1, 0, 0, 1, 0, 0, 0, 0]', 9)",8,4,6,7,14,5,18,15,,9.625,,,,,,,,,,,,,,
4,"('[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]', 0)","('[0, 1, 0, 0, 1, 1, 0, 0, 1, 0]', 1)","('[0, 0, 0, 0, 1, 1, 0, 1, 0, 1]', 2)","('[0, 0, 0, 1, 0, 1, 1, 0, 0, 1]', 3)","('[0, 0, 1, 0, 1, 0, 1, 0, 1, 0]', 4)","('[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]', 5)","('[1, 1, 0, 1, 0, 0, 0, 0, 0, 1]', 6)","('[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]', 7)","('[0, 1, 0, 1, 0, 0, 0, 1, 1, 0]', 8)","('[0, 1, 0, 0, 1, 0, 0, 1, 1, 0]', 9)",4,7,5,8,6,17,14,16,,9.625,,,,,,,,,,,,,,
0,"('[1, 0, 0, 0, 0, 1, 1, 0, 1, 0]', 0)","('[0, 0, 0, 1, 0, 1, 0, 0, 1, 1]', 1)","('[1, 0, 0, 0, 1, 0, 0, 0, 1, 1]', 2)","('[0, 1, 0, 0, 1, 1, 0, 0, 0, 1]', 3)","('[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]', 4)","('[1, 0, 1, 0, 0, 1, 1, 0, 0, 0]', 5)","('[1, 0, 0, 0, 1, 1, 0, 1, 0, 0]', 6)","('[0, 1, 1, 1, 0, 1, 0, 0, 0, 0]', 7)","('[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]', 8)","('[0, 0, 1, 0, 1, 0, 1, 0, 1, 0]', 9)",6,5,7,15,16,18,8,4,,9.875,,,,,,,,,,,,,,
6,"('[1, 1, 1, 0, 0, 0, 0, 1, 0, 0]', 0)","('[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]', 1)","('[0, 0, 0, 1, 1, 1, 0, 1, 0, 0]', 2)","('[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]', 3)","('[0, 0, 0, 1, 0, 0, 1, 1, 1, 0]', 4)","('[0, 1, 1, 0, 0, 0, 1, 0, 0, 1]', 5)","('[1, 1, 1, 0, 0, 0, 0, 1, 0, 0]', 6)","('[1, 0, 0, 0, 1, 1, 0, 0, 1, 0]', 7)","('[1, 0, 0, 0, 1, 0, 0, 0, 1, 1]', 8)","('[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]', 9)",7,6,8,17,15,5,4,19,,10.125,,,,,,,,,,,,,,
