"(4, 14)","[1, 2, 0, 5]","[3, 6, 4, 1]",30
"(4, 12)","[1, 2, 0, 5]","[3, 5, 5, 1]",29
"(4, 10)","[1, 2, 0, 5]","[3, 4, 6, 1]",28
"(4, 8)","[1, 2, 0, 5]","[2, 4, 6, 1]",27
"(4, 5)","[1, 2, 0, 5]","[2, 3, 7, 1]",26
"(0, 4)","[1, 2, 8, 1]","[1, 2, 0, 5]",24
"(3, 14)","[1, 2, 2, 4]","[3, 6, 4, 1]",24
"(3, 12)","[1, 2, 2, 4]","[3, 5, 5, 1]",23
"(3, 10)","[1, 2, 2, 4]","[3, 4, 6, 1]",22
"(3, 8)","[1, 2, 2, 4]","[2, 4, 6, 1]",21
"(0, 13)","[1, 2, 8, 1]","[3, 5, 0, 2]",20
"(3, 5)","[1, 2, 2, 4]","[2, 3, 7, 1]",20
"(4, 11)","[1, 2, 0, 5]","[3, 4, 2, 2]",20
"(4, 13)","[1, 2, 0, 5]","[3, 5, 0, 2]",20
"(4, 6)","[1, 2, 0, 5]","[2, 3, 4, 2]",19
"(4, 9)","[1, 2, 0, 5]","[2, 4, 2, 2]",19
"(0, 3)","[1, 2, 8, 1]","[1, 2, 2, 4]",18
"(0, 7)","[1, 2, 8, 1]","[2, 3, 1, 3]",18
"(1, 4)","[1, 2, 6, 2]","[1, 2, 0, 5]",18
"(2, 14)","[1, 2, 4, 3]","[3, 6, 4, 1]",18
"(3, 13)","[1, 2, 2, 4]","[3, 5, 0, 2]",18
"(7, 14)","[2, 3, 1, 3]","[3, 6, 4, 1]",18
"(2, 12)","[1, 2, 4, 3]","[3, 5, 5, 1]",17
"(7, 12)","[2, 3, 1, 3]","[3, 5, 5, 1]",17
"(0, 11)","[1, 2, 8, 1]","[3, 4, 2, 2]",16
"(1, 14)","[1, 2, 6, 2]","[3, 6, 4, 1]",16
"(2, 10)","[1, 2, 4, 3]","[3, 4, 6, 1]",16
"(2, 13)","[1, 2, 4, 3]","[3, 5, 0, 2]",16
"(5, 13)","[2, 3, 7, 1]","[3, 5, 0, 2]",16
"(7, 10)","[2, 3, 1, 3]","[3, 4, 6, 1]",16
"(0, 9)","[1, 2, 8, 1]","[2, 4, 2, 2]",15
